file_name,startup_name,industry,business_model,founder_name,founder_linkedin,extraction_method
3-ImpactEdge-Dr. Ram Ramanan.pdf,IMPACT-X,Sustainability Management Software,SaaS,Rakesh Sreekumar,,gemini
3-ImpactEdge-Dr. Ram Ramanan.pdf,IMPACT-X,Sustainability Management Software,SaaS,Dr. Ram Ramanan,,gemini
3-ImpactEdge-Dr. Ram Ramanan.pdf,IMPACT-X,Sustainability Management Software,SaaS,Sunil Cherian,,gemini
3-InstaDigin-Bhavesh Singhavi.pdf,InstaDigin,Mining and Infrastructure Technology,B2B,Bhavesh Singhavi,,gemini
30 Sundays_Investor discussion document.pdf,30 Sundays,"AI/ML, TravelTech, SaaS",B2C,Kshitij Chaudhary,,gemini
30 Sundays_Investor discussion document.pdf,30 Sundays,"AI/ML, TravelTech, SaaS",B2C,Anuj Punjani,,gemini
3ea2709a67c0-PrayasAI_PitchDeck_Misfits.pdf,Prayas.ai,EdTech,B2C,Ankit Gahlawat,,gemini
3iONetra - Faith Tech Pitch Deck - Invite Only.pdf,3ioNetra,Faith-Tech,B2B2C,Amit Kumar Bhardwaj,,gemini
3iONetra - Faith Tech Pitch Deck - Invite Only.pdf,3ioNetra,Faith-Tech,B2B2C,Sharad Kamath,,gemini
3iONetra - Faith Tech Pitch Deck - Invite Only.pdf,3ioNetra,Faith-Tech,B2B2C,Delton D’souza,,gemini
3iONetra - Faith Tech Pitch Deck - Invite Only.pdf,3ioNetra,Faith-Tech,B2B2C,Ritij Ranjan,,gemini
4-Aryav-Sanjay Kumar Garg.pdf,ARYAV,Water Technology,B2B,Sanjay Kumar Garg,,gemini
4-Aryav-Sanjay Kumar Garg.pdf,ARYAV,Water Technology,B2B,Bharat Kapoor,,gemini
4-Aryav-Sanjay Kumar Garg.pdf,ARYAV,Water Technology,B2B,Natwar Dhuwalia,,gemini
4-Aryav-Sanjay Kumar Garg.pdf,ARYAV,Water Technology,B2B,Kapel Malhotra,,gemini
4-Assisto-Ganesh Vishwanathan.pptx.pdf,Assisto Technologies,"AI/ML, Conversational AI, SaaS",B2B,Ganesh Viswanathan,,gemini
4-Assisto-Ganesh Vishwanathan.pptx.pdf,Assisto Technologies,"AI/ML, Conversational AI, SaaS",B2B,V Ramakrishnan,,gemini
4-Assisto-Ganesh Vishwanathan.pptx.pdf,Assisto Technologies,"AI/ML, Conversational AI, SaaS",B2B,Sakshi Jain,,gemini
4-Assisto-Ganesh Vishwanathan.pptx.pdf,Assisto Technologies,"AI/ML, Conversational AI, SaaS",B2B,Shubham Jha Sant,,gemini
4-Assisto-Ganesh Vishwanathan.pptx.pdf,Assisto Technologies,"AI/ML, Conversational AI, SaaS",B2B,Dr Aniruddha Roy,,gemini
40648c641a62-Spreeh___Wedding_Planning_Simplified.pdf,Spreeh,"EventTech, SaaS",B2B,Siddharth Chaturvedi,,gemini
42fef7d89c58-Kalppo_Pitch_Deck.pdf,Kalppo,EdTech,B2B2C,Avinash Kumar,,gemini
42fef7d89c58-Kalppo_Pitch_Deck.pdf,Kalppo,EdTech,B2B2C,Abhishek Kumar,,gemini
5-Blinq-Nikesh Bisht.pdf,Blinq Mobility,EV / Automotive / Mobility,B2B,Nikesh Bisht,,gemini
5-Blinq-Nikesh Bisht.pdf,Blinq Mobility,EV / Automotive / Mobility,B2B,Ankit Kumar,,gemini
5-Blinq-Nikesh Bisht.pdf,Blinq Mobility,EV / Automotive / Mobility,B2B,Sushmita Patil,,gemini
5-Blinq-Nikesh Bisht.pdf,Blinq Mobility,EV / Automotive / Mobility,B2B,Abhilasha Marmat,,gemini
5-Blinq-Nikesh Bisht.pdf,Blinq Mobility,EV / Automotive / Mobility,B2B,Yashdeep Singh,,gemini
5-MadVR-Solutions Vincent DSouza .pdf,MadVR Solutions,HealthTech,B2B,Dr. Keyur Sorathia,,gemini
5-MadVR-Solutions Vincent DSouza .pdf,MadVR Solutions,HealthTech,B2B,Dr. Vinay Kumaraswamy,,gemini
5-MadVR-Solutions Vincent DSouza .pdf,MadVR Solutions,HealthTech,B2B,Mr. Vincent DSouza,,gemini
57e2637b5e1f-SRUJANAPresentation___Tech_Job_Prep__Program_Overview.pdf,Srujana Solutions,EdTech,B2C,,,gemini
6-Chayan.AI- Saurabh Awasthi.pdf,CHAYAN.AI,"AI/ML, SaaS",B2B,Saurabh A,,gemini
6-Chayan.AI- Saurabh Awasthi.pdf,CHAYAN.AI,"AI/ML, SaaS",B2B,Amit P,,gemini
6-Chayan.AI- Saurabh Awasthi.pdf,CHAYAN.AI,"AI/ML, SaaS",B2B,Raja Rajeev K,,gemini
6-Chayan.AI- Saurabh Awasthi.pdf,CHAYAN.AI,"AI/ML, SaaS",B2B,Dr. Vikas R,,gemini
6-Matwhiz-Vishwajith.pdf,Error - No Text,,,,,failed
68ccc2ee-8077-4cc4-90bc-4f557020dfb3.pdf,BIOV EDA Agro Ventures,AgriTech,B2B2C,Mahua Hazra,,gemini
68ccc2ee-8077-4cc4-90bc-4f557020dfb3.pdf,BIOV EDA Agro Ventures,AgriTech,B2B2C,Kaushik Dasgupta,,gemini
6b315f30f18e-email_pitch_deck.pdf,My Turn,SaaS,B2B,,,gemini
7 Ring - Pitch Deck - New - 2024 - Compressed.pdf,7Ring,FinTech,D2C,Vijay Khubchandani,,gemini
7 Ring - Pitch Deck - New - 2024 - Compressed.pdf,7Ring,FinTech,D2C,Mahek Takrani,,gemini
7 Ring - Pitch Deck - New - 2024 - Compressed.pdf,7Ring,FinTech,D2C,Karthik Menon,,gemini
7 Ring - Pitch Deck - New - 2024 - Compressed.pdf,7Ring,FinTech,D2C,Vivek Savla,,gemini
7-FinLead.AI-Suryansham.pdf,FinLead AI,FinTech,B2B,Surya,,gemini
7-FinLead.AI-Suryansham.pdf,FinLead AI,FinTech,B2B,Archit,,gemini
7-FinLead.AI-Suryansham.pdf,FinLead AI,FinTech,B2B,Simha,,gemini
7-Hycosys-Tapish Agarwal.pptx.pdf,HYCOSYS,Aerospace,B2B,Ugandhar Reddy,,gemini
7-Hycosys-Tapish Agarwal.pptx.pdf,HYCOSYS,Aerospace,B2B,Dr. Tapish Agarwal,,gemini
8-Indigotex-Satendra Singh.pptx.pdf,INDIGOTEX Pvt. Ltd.,Textiles,B2B,Satendra Singh,,gemini
8-Indigotex-Satendra Singh.pptx.pdf,INDIGOTEX Pvt. Ltd.,Textiles,B2B,Mohit Ahirwar,,gemini
8-Mobipay-Taron Mohan.pdf,Mobipay,FinTech,B2B,Taron Mohan,https://linkedin.com/in/taronmohan,gemini
8-Mobipay-Taron Mohan.pdf,Mobipay,FinTech,B2B,Vikram Mehta,https://linkedin.com/in/vikrammehta,gemini
8-Mobipay-Taron Mohan.pdf,Mobipay,FinTech,B2B,Rajinder Sharma,https://linkedin.com/in/rajindersharma,gemini
8-Mobipay-Taron Mohan.pdf,Mobipay,FinTech,B2B,Ravi Mittal,https://linkedin.com/in/ravimittal,gemini
8-Mobipay-Taron Mohan.pdf,Mobipay,FinTech,B2B,Puneet Agarwal,https://linkedin.com/in/puneetagarwal,gemini
9-ADmyBrand-Banti Kundu.pdf,ADmyBRAND,Advertising Technology,B2B,Sudd (Sudhanshu Goyal),,gemini
9-ADmyBrand-Banti Kundu.pdf,ADmyBRAND,Advertising Technology,B2B,John Rose,,gemini
9-ADmyBrand-Banti Kundu.pdf,ADmyBRAND,Advertising Technology,B2B,Rahul Khanna,,gemini
9-ADmyBrand-Banti Kundu.pdf,ADmyBRAND,Advertising Technology,B2B,John Federman,,gemini
9-ADmyBrand-Banti Kundu.pdf,ADmyBRAND,Advertising Technology,B2B,Santosh Ghosh,,gemini
9-ADmyBrand-Banti Kundu.pdf,ADmyBRAND,Advertising Technology,B2B,Banti Kundu,,gemini
9-ADmyBrand-Banti Kundu.pdf,ADmyBRAND,Advertising Technology,B2B,Shrikant Latkar,,gemini
9-ADmyBrand-Banti Kundu.pdf,ADmyBRAND,Advertising Technology,B2B,Nikki Hawke,,gemini
9-ADmyBrand-Banti Kundu.pdf,ADmyBRAND,Advertising Technology,B2B,Atharva Pandey,,gemini
927563405b5f-Demat_Holdings___Valuation.pdf,,,,,,gemini
9DXR LABS Pitch Deck -March 25.pdf,9DXR LABS,EdTech,B2B,Ajay Jain,,gemini
9DXR LABS Pitch Deck -March 25.pdf,9DXR LABS,EdTech,B2B,Abhishek Shrivastava,,gemini
9DXR LABS Pitch Deck -March 25.pdf,9DXR LABS,EdTech,B2B,Amit Srivastava,,gemini
9f9fee926e95-Aphelia_Innovations___A_Software_Development_Company.pdf,Aphelia Innovations,"Software Development, Digital Transformation, HealthTech, AgriTech, FinTech, EdTech",B2B,Deepak Singh,,gemini
_Mewa Hub _ Summary Deck.pdf,Mewa Hub,Food & Beverage/AgriTech,B2B/B2C/D2C,Bimal Kejriwal,,gemini
_Mewa Hub _ Summary Deck.pdf,Mewa Hub,Food & Beverage/AgriTech,B2B/B2C/D2C,Saurabh Agarwal,,gemini
_Mewa Hub _ Summary Deck.pdf,Mewa Hub,Food & Beverage/AgriTech,B2B/B2C/D2C,Tarun Kejriwal,,gemini
_Mewa Hub _ Summary Deck.pdf,Mewa Hub,Food & Beverage/AgriTech,B2B/B2C/D2C,Rohit Kejriwal,,gemini
_Mewa Hub _ Summary Deck.pdf,Mewa Hub,Food & Beverage/AgriTech,B2B/B2C/D2C,Sudhanshu,,gemini
aavo-onepager.pdf,AAVO,Experience Economy / AI,D2C,Dr Shraddha Danani,,gemini
aavo-onepager.pdf,AAVO,Experience Economy / AI,D2C,Aarav Danani,,gemini
AbhaBus - May25.pdf,Abha Travels Private Limited,Passenger Mobility,B2C,SANTOSH SHUKLA,,gemini
AbhaBus - May25.pdf,Abha Travels Private Limited,Passenger Mobility,B2C,GAURAV MISHRA,,gemini
Acadru_Aug_2025.pdf,ACadru,EdTech,B2C,Abhishek Singhal,,gemini
Acadru_Aug_2025.pdf,ACadru,EdTech,B2C,Kamini Vidisha,,gemini
Acadru_Aug_2025.pdf,ACadru,EdTech,B2C,Konkona Gogoi,,gemini
AcadSpace up_Investment Deck - vF2025.pdf,AcadSpace,EdTech,B2C,Arunavo Mondal,,gemini
AcadSpace up_Investment Deck - vF2025.pdf,AcadSpace,EdTech,B2C,Vikrant Shome,,gemini
AcadSpace up_Investment Deck - vF2025.pdf,AcadSpace,EdTech,B2C,Prashant Kumar,,gemini
ADOCXO_Deck.pdf,Adocxo,HealthTech,B2B2C,Chanda kumari,,gemini
ADOCXO_Deck.pdf,Adocxo,HealthTech,B2B2C,Vamshi Krishna,,gemini
ADOCXO_Deck.pdf,Adocxo,HealthTech,B2B2C,Priyanshu Kumar,,gemini
ADOCXO_Deck.pdf,Adocxo,HealthTech,B2B2C,Avijit Kumar,,gemini
ADOCXO_Deck.pdf,Adocxo,HealthTech,B2B2C,Raushan kumar,,gemini
ADOCXO_Deck.pdf,Adocxo,HealthTech,B2B2C,Gogusetty Avinash,,gemini
ADOCXO_Deck.pdf,Adocxo,HealthTech,B2B2C,HariKishan Singaraju,,gemini
ADOCXO_Deck.pdf,Adocxo,HealthTech,B2B2C,Amit S Plate,,gemini
ADOCXO_Deck.pdf,Adocxo,HealthTech,B2B2C,Suraj Kumar,,gemini
Adzat AI Pitchdeck.pdf,Adzat,HR Tech,SaaS,Aryan Honawar,,gemini
Adzat AI Pitchdeck.pdf,Adzat,HR Tech,SaaS,Nabeel Nensey,,gemini
AethonGaming Pitch Deck.pdf,AethonWorld,GameTech,B2C,MOHIT KUMAR,,gemini
AethonGaming Pitch Deck.pdf,AethonWorld,GameTech,B2C,ASIF HUSSAIN MOHD.,,gemini
afa242c20c1d-MediAI_Pitch_Deck__1_.pdf,MediAI,"HealthTech, AI/ML","B2C, B2B",Shreyal Shah,,gemini
Agaate - Pitch Deck.pdf,Agaate Kisan Mall,AgriTech,B2B2C,Ankit Rawat,,gemini
AgentR - IM.pdf,Error - No Text,,,,,failed
AgentR deck - Jul_25.pdf,AgentR.dev,AI/ML,B2B2C,,,gemini
Agnicore pitch deck.pdf,StrikeSense,Defence Technology/AI,"B2G, B2B",Praveen Ramachandran,,gemini
Agnicore pitch deck.pdf,StrikeSense,Defence Technology/AI,"B2G, B2B",Sreenivasan S,,gemini
Aicade _ AI agent to build games.pdf,Aicade,Game Development / AI,Freemium/Tiered Pricing,Pushkar Sangrish,,gemini
AiCodePro - Pitch Deck.pdf,OeX Tech Solutions Pvt Ltd,"Marketing Automation, AI/ML, Ecommerce Enablement, SaaS",B2B,Rachana Mukherjee,,gemini
AiCodePro - Pitch Deck.pdf,OeX Tech Solutions Pvt Ltd,"Marketing Automation, AI/ML, Ecommerce Enablement, SaaS",B2B,Vishal Singh,,gemini
AiCodePro - Pitch Deck.pdf,OeX Tech Solutions Pvt Ltd,"Marketing Automation, AI/ML, Ecommerce Enablement, SaaS",B2B,Divya Singh,,gemini
Aignosis_PitchDeck.pdf,Ai.gnosis,HealthTech,B2B2C,Divyansh Mangal,,gemini
Aignosis_PitchDeck.pdf,Ai.gnosis,HealthTech,B2B2C,Raksheet Jain,,gemini
Ailusion Pitch Deck - Jul 25 (1).pdf,Error - No Text,,,,,failed
Aimerz Pitch Deck-16.pdf,Aimerz,EdTech,B2C,Vishwa Mohan,,gemini
Aimerz Pitch Deck-16.pdf,Aimerz,EdTech,B2C,Mehul Khandhedia,,gemini
Aimerz Pitch Deck-16.pdf,Aimerz,EdTech,B2C,Lokesh Mathur,,gemini
AInnovia_Pager.pdf,AInnovia,HealthTech,SaaS,Sanchita Mukherjee,,gemini
AJAX Pitch Deck-1.pdf,AJAX,Water Purification,"B2C, B2B, B2G",John David Marshal,,gemini
AJAX Pitch Deck-1.pdf,AJAX,Water Purification,"B2C, B2B, B2G",Tahir Iju Samaila,,gemini
AJAX Pitch Deck-1.pdf,AJAX,Water Purification,"B2C, B2B, B2G",Mifarya Yusuf Enochson,,gemini
AkashaLabdhi_Deck.pdf,Akashlabdhi,Space Tech/Defence,B2B,Siddharth Jena,,gemini
AkashaLabdhi_Deck.pdf,Akashlabdhi,Space Tech/Defence,B2B,Prof. SH Upadhyay,,gemini
AkashaLabdhi_Deck.pdf,Akashlabdhi,Space Tech/Defence,B2B,Sri Prakash,,gemini
AkashaLabdhi_Deck.pdf,Akashlabdhi,Space Tech/Defence,B2B,Umesh H.N Rao,,gemini
AkashaLabdhi_Deck.pdf,Akashlabdhi,Space Tech/Defence,B2B,Manoj Mohan,,gemini
AkashaLabdhi_Deck.pdf,Akashlabdhi,Space Tech/Defence,B2B,Manjesh Mohan,,gemini
Alchemyst AI - Sep_25.pdf,Error - No Text,,,,,failed
Algo8_V11.pdf,Algo8 AI,Industrial AI,SaaS,Nandan Mishra,,gemini
Algo8_V11.pdf,Algo8 AI,Industrial AI,SaaS,Himanshu Singh,,gemini
AlgoEdge - Final Presentation Jan_25.pdf,AlgoEdge,"FinTech, SaaS",B2B,Vishesh Narang,,gemini
AlgoEdge - Final Presentation Jan_25.pdf,AlgoEdge,"FinTech, SaaS",B2B,Viney Dhankar,,gemini
AlgoEdge - Final Presentation Jan_25.pdf,AlgoEdge,"FinTech, SaaS",B2B,Shashank Roheria,,gemini
AlgoEdge - Final Presentation Jan_25.pdf,AlgoEdge,"FinTech, SaaS",B2B,Abhishek S.,,gemini
alpha rotto_final.pdf,Alpha Rotto,Automotive SaaS,B2C,Pranjal Jaiswal,,gemini
alpha rotto_final.pdf,Alpha Rotto,Automotive SaaS,B2C,Prabal Pratap,,gemini
alpha rotto_final.pdf,Alpha Rotto,Automotive SaaS,B2C,Roshan Zameer,,gemini
alpha rotto_final.pdf,Alpha Rotto,Automotive SaaS,B2C,Arjun N Navale,,gemini
Alum-n-i Pitch Deck.pdf,Alum-n-i,EdTech,B2C,Prashant Tibrewal,,gemini
Alum-n-i Pitch Deck.pdf,Alum-n-i,EdTech,B2C,Aditi Kotak,,gemini
Alum-n-i Pitch Deck.pdf,Alum-n-i,EdTech,B2C,Neelabh Prabhat,,gemini
Alum-n-i Pitch Deck.pdf,Alum-n-i,EdTech,B2C,Ritwik Kumar,,gemini
Ambee_Investor_Deck_F.pdf,"Ambee, Inc.",Climate Data,B2B,Madhusudhan,,gemini
Ambee_Investor_Deck_F.pdf,"Ambee, Inc.",Climate Data,B2B,Jaideep,,gemini
Ambee_Investor_Deck_F.pdf,"Ambee, Inc.",Climate Data,B2B,Akshay,,gemini
amber_pitch-deck.pdf,Amber Internet Solutions Private Limited,Student Housing Platform,"B2C (primarily), B2B (partnerships with property managers and universities)",Saurabh Goel,https://www.linkedin.com/in/saurgoel,gemini
amber_pitch-deck.pdf,Amber Internet Solutions Private Limited,Student Housing Platform,"B2C (primarily), B2B (partnerships with property managers and universities)",Madhur Gujar,https://www.linkedin.com/in/madhurgujar,gemini
AMONEX_Deck_capitalCORN.pdf,Amonex Technologies Pvt. Ltd.,SaaS (Food & Beverage),B2B,VINOD SONIGARA,https://www.linkedin.com/in/vinodsonigara/,gemini
anchors Deck (Pre-seed Round ) (1).pdf,anchors,Influencer Marketing,B2B,Ravi Ahirwar,,gemini
anchors Deck (Pre-seed Round ) (1).pdf,anchors,Influencer Marketing,B2B,Aesha Agarwal,,gemini
anchors Deck (Pre-seed Round ) (1).pdf,anchors,Influencer Marketing,B2B,Mahendra Kumar,,gemini
anchors Deck (Pre-seed Round ) (1).pdf,anchors,Influencer Marketing,B2B,Sandeep Singh,,gemini
AND_Academy_Investor_Presentation__12_08_wm8X5ePe7uBGTKKP4UTnr.2025_.pdf,AND Academy,EdTech,B2C,DR. JITIN CHADHA,,gemini
AND_Academy_Investor_Presentation__12_08_wm8X5ePe7uBGTKKP4UTnr.2025_.pdf,AND Academy,EdTech,B2C,PRACHI MITTAL,,gemini
AND_Academy_Investor_Presentation__12_08_wm8X5ePe7uBGTKKP4UTnr.2025_.pdf,AND Academy,EdTech,B2C,CHIRAAG MEHTA,,gemini
Angel Investor Deck_Reuseall.pdf,reuseall,Logistics,B2B,SHRAVAN BOSKA,,gemini
Angel Investor Deck_Reuseall.pdf,reuseall,Logistics,B2B,SIDDHARTH ANAND,,gemini
Angel Investor Deck_Reuseall.pdf,reuseall,Logistics,B2B,VIVEK CN,,gemini
Angoor AI Pitch Deck V3.pdf,ANGOOR AI,"AI/ML, SaaS, CRM",B2B,Anuj Agrawal,,gemini
Angoor AI Pitch Deck V3.pdf,ANGOOR AI,"AI/ML, SaaS, CRM",B2B,Kush Sharma,,gemini
Ankur+  Pitch Deck.pdf,ANKUR+,AgriTech,B2B2C,Rahul Datta,,gemini
Ankur+  Pitch Deck.pdf,ANKUR+,AgriTech,B2B2C,Archan Das,,gemini
Ankur+  Pitch Deck.pdf,ANKUR+,AgriTech,B2B2C,Kunal Sinha,,gemini
Ankur+  Pitch Deck.pdf,ANKUR+,AgriTech,B2B2C,Abhishek Goyal,,gemini
Ankur+  Pitch Deck.pdf,ANKUR+,AgriTech,B2B2C,Nitesh Pant,,gemini
Ankur+  Pitch Deck.pdf,ANKUR+,AgriTech,B2B2C,Shekhar Sahu,,gemini
Anmasa_Deck_1.pdf,Anmasa,"AgriTech, FoodTech, D2C",D2C,Yatish Talvadia,,gemini
Anmasa_Deck_1.pdf,Anmasa,"AgriTech, FoodTech, D2C",D2C,Shailendra Upadhayay,,gemini
Anzix Farm-11 11 V3 [Auto-saved].pdf,Agri-factory,AgriTech,B2B2C,Ankit Rawat,,gemini
Anzix Farm-11 11 V3 [Auto-saved].pdf,Agri-factory,AgriTech,B2B2C,Ankush Yadav,,gemini
Anzix Farm-11 11 V3 [Auto-saved].pdf,Agri-factory,AgriTech,B2B2C,Abhay Ranjan,,gemini
Anzix Farm-11 11 V3 [Auto-saved].pdf,Agri-factory,AgriTech,B2B2C,Vijay Kumar,,gemini
Anzix Farm-25-11.pdf,Agri-factory,AgriTech,B2B2C,Ankit Rawat,,gemini
Anzix Farm-25-11.pdf,Agri-factory,AgriTech,B2B2C,Abhay Ranjan,,gemini
ApniBus 2024 (2).pdf,Error - No Text,,,,,failed
"Arbhu, India Pitch.pdf",Arbhu Enterprises,B2B Cross Border E-commerce & Logistics,B2B,Gulshan Iyer,,gemini
"Arbhu, India Pitch.pdf",Arbhu Enterprises,B2B Cross Border E-commerce & Logistics,B2B,Arvind Kumar,,gemini
ARC Pitch Deck.pdf,Arc,Gaming,D2C,Jobin Joseph,,gemini
ARC Pitch Deck.pdf,Arc,Gaming,D2C,Abhiram Krishna,,gemini
ARC Pitch Deck.pdf,Arc,Gaming,D2C,Daniel,,gemini
ArcPlay Intro Deck.pdf,ArcPlay.ai,AdTech,B2B,AVI AGGARWAL,,gemini
ArcPlay Intro Deck.pdf,ArcPlay.ai,AdTech,B2B,ARCHIT AGGARWAL,,gemini
